<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	00:00:00	1.19473	1.19493	1.19473	1.19491	25	0	29
2021.03.15	00:01:00	1.19492	1.19499	1.19489	1.19493	31	0	28
2021.03.15	00:02:00	1.19495	1.19523	1.19494	1.19516	51	0	17
2021.03.15	00:03:00	1.19516	1.19516	1.19510	1.19512	31	0	25
2021.03.15	00:04:00	1.19511	1.19520	1.19511	1.19515	19	0	28
2021.03.15	00:05:00	1.19515	1.19529	1.19467	1.19522	18	0	7
2021.03.15	00:06:00	1.19522	1.19529	1.19521	1.19523	20	0	15
2021.03.15	00:07:00	1.19520	1.19524	1.19506	1.19513	31	0	14
2021.03.15	00:08:00	1.19514	1.19516	1.19496	1.19513	49	0	9
2021.03.15	00:09:00	1.19512	1.19522	1.19509	1.19518	87	0	15
2021.03.15	00:10:00	1.19518	1.19523	1.19513	1.19515	41	0	12
2021.03.15	00:11:00	1.19515	1.19515	1.19504	1.19504	13	0	12
2021.03.15	00:12:00	1.19503	1.19503	1.19500	1.19502	5	0	13
2021.03.15	00:13:00	1.19502	1.19512	1.19502	1.19509	13	0	13
2021.03.15	00:14:00	1.19508	1.19510	1.19508	1.19508	16	0	15
2021.03.15	00:15:00	1.19504	1.19517	1.19504	1.19517	18	0	8
2021.03.15	00:16:00	1.19516	1.19519	1.19515	1.19516	7	0	9
2021.03.15	00:17:00	1.19518	1.19518	1.19513	1.19514	14	0	10
2021.03.15	00:18:00	1.19516	1.19517	1.19513	1.19515	7	0	7
2021.03.15	00:19:00	1.19514	1.19532	1.19514	1.19527	20	0	7
2021.03.15	00:20:00	1.19529	1.19529	1.19524	1.19525	8	0	6
2021.03.15	00:21:00	1.19536	1.19542	1.19522	1.19523	30	0	6
2021.03.15	00:22:00	1.19523	1.19525	1.19523	1.19524	6	0	8
2021.03.15	00:23:00	1.19524	1.19533	1.19524	1.19524	11	0	5
2021.03.15	00:24:00	1.19506	1.19511	1.19505	1.19505	21	0	6
2021.03.15	00:25:00	1.19505	1.19505	1.19501	1.19501	8	0	5
2021.03.15	00:26:00	1.19502	1.19504	1.19501	1.19503	9	0	6
2021.03.15	00:27:00	1.19503	1.19512	1.19502	1.19511	9	0	5
2021.03.15	00:28:00	1.19511	1.19511	1.19508	1.19511	9	0	5
2021.03.15	00:29:00	1.19511	1.19511	1.19488	1.19489	17	0	6
2021.03.15	00:30:00	1.19489	1.19495	1.19474	1.19477	64	0	4
2021.03.15	00:31:00	1.19477	1.19479	1.19456	1.19459	68	0	1
2021.03.15	00:32:00	1.19459	1.19459	1.19440	1.19448	42	0	1
2021.03.15	00:33:00	1.19449	1.19450	1.19444	1.19445	23	0	2
2021.03.15	00:34:00	1.19445	1.19448	1.19436	1.19441	58	0	2
2021.03.15	00:35:00	1.19441	1.19450	1.19439	1.19442	32	0	4
2021.03.15	00:36:00	1.19443	1.19456	1.19443	1.19449	43	0	4
2021.03.15	00:37:00	1.19450	1.19457	1.19448	1.19450	38	0	5
2021.03.15	00:38:00	1.19450	1.19456	1.19450	1.19454	6	0	8
2021.03.15	00:39:00	1.19454	1.19457	1.19454	1.19457	3	0	5
2021.03.15	00:40:00	1.19448	1.19465	1.19448	1.19465	10	0	1
2021.03.15	00:41:00	1.19472	1.19478	1.19471	1.19478	6	0	4
2021.03.15	00:42:00	1.19478	1.19478	1.19470	1.19471	14	0	3
2021.03.15	00:43:00	1.19471	1.19476	1.19469	1.19471	39	0	3
2021.03.15	00:44:00	1.19472	1.19477	1.19472	1.19476	27	0	4
2021.03.15	00:45:00	1.19473	1.19478	1.19470	1.19471	56	0	2
2021.03.15	00:46:00	1.19471	1.19475	1.19471	1.19475	15	0	3
2021.03.15	00:47:00	1.19474	1.19475	1.19463	1.19465	21	0	1
2021.03.15	00:48:00	1.19465	1.19466	1.19464	1.19464	3	0	2
2021.03.15	00:49:00	1.19464	1.19464	1.19463	1.19464	3	0	4
2021.03.15	00:50:00	1.19464	1.19465	1.19464	1.19465	4	0	1
2021.03.15	00:51:00	1.19461	1.19468	1.19460	1.19464	6	0	1
2021.03.15	00:52:00	1.19464	1.19467	1.19464	1.19467	5	0	4
2021.03.15	00:53:00	1.19467	1.19467	1.19465	1.19467	8	0	3
2021.03.15	00:54:00	1.19466	1.19467	1.19464	1.19467	5	0	3
2021.03.15	00:55:00	1.19467	1.19467	1.19460	1.19467	10	0	6
2021.03.15	00:56:00	1.19467	1.19480	1.19467	1.19480	12	0	4
2021.03.15	00:57:00	1.19481	1.19482	1.19464	1.19469	26	0	3
2021.03.15	00:58:00	1.19469	1.19476	1.19469	1.19474	13	0	7
2021.03.15	00:59:00	1.19474	1.19481	1.19474	1.19481	8	0	3
2021.03.15	01:00:00	1.19481	1.19483	1.19475	1.19476	35	0	1
2021.03.15	01:01:00	1.19476	1.19482	1.19473	1.19480	15	0	1
2021.03.15	01:02:00	1.19480	1.19484	1.19479	1.19484	10	0	1
2021.03.15	01:03:00	1.19489	1.19494	1.19485	1.19486	30	0	1
2021.03.15	01:04:00	1.19490	1.19497	1.19488	1.19492	19	0	1
2021.03.15	01:05:00	1.19493	1.19493	1.19484	1.19487	20	0	1
2021.03.15	01:06:00	1.19485	1.19491	1.19478	1.19487	44	0	1
